Date,Low,Open,Volume,High,Close,Adjusted Close
29-12-2009,152.5,152.5,168,180.0,180.0,50.10017013549805
30-12-2009,150.0,165.0,182,195.0,180.0,50.10017013549805
31-12-2009,196.0,196.0,540,237.5,217.5,60.5377082824707
04-01-2010,152.5,170.0,542,175.0,172.0,47.87349319458008
05-01-2010,167.5,179.0,308,184.5,167.5,46.62099075317383
06-01-2010,177.5,179.5,44,179.5,177.5,49.40433120727539
07-01-2010,167.5,167.5,32,185.5,185.5,51.63100814819336
08-01-2010,174.0,174.0,584,177.0,177.0,49.26516342163086
11-01-2010,170.0,170.0,20,185.0,185.0,51.49184036254883
12-01-2010,162.5,162.5,96,170.0,170.0,47.31682586669922
13-01-2010,150.0,155.0,194,162.0,162.0,45.09015274047851
14-01-2010,142.5,150.0,376,168.0,168.0,46.76015853881836
15-01-2010,147.5,150.0,682,163.5,163.5,45.50765228271485
19-01-2010,131.5,145.0,732,155.5,132.5,36.87929153442383
20-01-2010,122.5,136.0,254,136.0,136.0,37.853458404541016
21-01-2010,125.0,125.0,4,125.0,125.0,34.791786193847656
22-01-2010,127.5,150.0,62,150.0,127.5,35.48762130737305
25-01-2010,124.5,137.5,546,137.5,124.5,34.652618408203125
26-01-2010,120.5,120.5,30,125.0,120.5,33.53927993774414
27-01-2010,114.0,117.0,96,117.0,115.0,32.00844192504883
28-01-2010,112.5,117.5,170,125.0,125.0,34.791786193847656
29-01-2010,120.0,127.5,218,127.5,123.0,34.23511505126953
01-02-2010,122.5,122.5,138,139.0,136.0,37.853458404541016
02-02-2010,123.5,126.5,62,130.0,130.0,36.18345642089844
03-02-2010,125.0,130.0,92,132.0,132.0,36.7401237487793
04-02-2010,115.0,119.5,134,134.0,132.0,36.7401237487793
05-02-2010,107.5,110.0,414,159.0,159.0,44.255149841308594
08-02-2010,107.0,107.0,22,112.5,112.5,31.312604904174805
09-02-2010,115.0,115.0,348,134.5,132.0,36.7401237487793
10-02-2010,117.5,121.5,300,140.0,140.0,38.966800689697266
11-02-2010,115.0,130.5,88,130.5,125.0,34.791786193847656
12-02-2010,107.0,107.0,270,118.5,117.5,32.70427703857422
16-02-2010,111.5,116.5,246,118.0,118.0,32.84344482421875
17-02-2010,106.5,113.0,194,113.0,106.5,29.64259910583496
18-02-2010,117.5,117.5,54,122.5,120.0,33.40011215209961
19-02-2010,112.5,121.0,46,125.0,112.5,31.312604904174805
22-02-2010,119.0,119.0,6,120.0,120.0,33.40011215209961
23-02-2010,114.5,117.5,114,117.5,114.5,31.869274139404297
24-02-2010,115.0,135.0,36,135.0,135.0,37.57512664794922
25-02-2010,111.0,111.0,28,130.0,130.0,36.18345642089844
26-02-2010,120.0,125.0,62,125.5,120.0,33.40011215209961
01-03-2010,117.5,124.0,146,124.0,120.0,33.40011215209961
02-03-2010,120.0,120.0,44,131.5,131.0,36.461788177490234
03-03-2010,121.0,132.5,184,132.5,122.0,33.956783294677734
04-03-2010,121.0,121.0,1464,125.0,121.0,33.67844772338867
05-03-2010,121.5,121.5,358,128.0,128.0,35.62678527832031
08-03-2010,125.0,125.5,62,125.5,125.5,34.93095397949219
09-03-2010,119.5,122.5,468,125.0,120.0,33.40011215209961
10-03-2010,120.0,120.0,0,120.0,120.0,33.40011215209961
11-03-2010,126.0,126.0,32,134.0,134.0,37.29679489135742
12-03-2010,130.0,134.5,60,134.5,134.5,37.43596267700195
15-03-2010,126.5,127.0,18,134.0,134.0,37.29679489135742
16-03-2010,127.5,132.5,110,132.5,131.0,36.461788177490234
17-03-2010,122.0,130.0,114,130.0,124.0,34.513450622558594
18-03-2010,112.5,119.5,554,120.5,114.0,31.73010635375977
19-03-2010,117.0,117.0,990,130.0,130.0,36.18345642089844
22-03-2010,112.5,112.5,424,117.5,114.0,31.73010635375977
23-03-2010,116.5,117.0,738,121.0,120.5,33.53927993774414
24-03-2010,121.0,121.0,56,121.0,121.0,33.67844772338867
25-03-2010,120.0,126.0,450,126.0,120.0,33.40011215209961
26-03-2010,125.0,125.0,318,133.0,128.5,35.765953063964844
29-03-2010,129.5,129.5,54,135.0,135.0,37.57512664794922
30-03-2010,123.5,125.0,256,125.5,123.5,34.37428283691406
31-03-2010,117.0,124.5,130,125.0,117.0,32.56510925292969
