Date,Low,Open,Volume,High,Close,Adjusted Close
18-09-2009,0.25,0.25,144,0.25,0.25,0.25
21-09-2009,0.25,0.25,0,0.25,0.25,0.25
22-09-2009,0.25,0.25,0,0.25,0.25,0.25
23-09-2009,0.25,0.25,0,0.25,0.25,0.25
24-09-2009,0.25,0.25,0,0.25,0.25,0.25
25-09-2009,0.25,0.25,0,0.25,0.25,0.25
28-09-2009,0.25,0.25,0,0.25,0.25,0.25
29-09-2009,0.25,0.25,0,0.25,0.25,0.25
30-09-2009,0.25,0.25,0,0.25,0.25,0.25
01-10-2009,0.25,0.25,0,0.25,0.25,0.25
02-10-2009,0.25,0.25,0,0.25,0.25,0.25
05-10-2009,0.25,0.25,0,0.25,0.25,0.25
06-10-2009,0.25,0.25,0,0.25,0.25,0.25
07-10-2009,0.25,0.25,0,0.25,0.25,0.25
08-10-2009,0.25,0.25,0,0.25,0.25,0.25
09-10-2009,0.25,0.25,0,0.25,0.25,0.25
12-10-2009,0.25,0.25,0,0.25,0.25,0.25
13-10-2009,0.25,0.25,0,0.25,0.25,0.25
14-10-2009,0.25,0.25,0,0.25,0.25,0.25
15-10-2009,0.25,0.25,0,0.25,0.25,0.25
16-10-2009,0.25,0.25,0,0.25,0.25,0.25
19-10-2009,0.25,0.25,0,0.25,0.25,0.25
20-10-2009,0.25,0.25,0,0.25,0.25,0.25
21-10-2009,0.25,0.25,0,0.25,0.25,0.25
22-10-2009,0.25,0.25,0,0.25,0.25,0.25
23-10-2009,0.25,0.25,0,0.25,0.25,0.25
26-10-2009,0.25,0.25,0,0.25,0.25,0.25
27-10-2009,0.25,0.25,0,0.25,0.25,0.25
28-10-2009,0.25,0.25,0,0.25,0.25,0.25
29-10-2009,0.25,0.25,0,0.25,0.25,0.25
30-10-2009,0.25,0.25,0,0.25,0.25,0.25
02-11-2009,0.25,0.25,0,0.25,0.25,0.25
03-11-2009,0.25,0.25,0,0.25,0.25,0.25
04-11-2009,0.25,0.25,0,0.25,0.25,0.25
05-11-2009,0.25,0.25,0,0.25,0.25,0.25
06-11-2009,0.25,0.25,0,0.25,0.25,0.25
09-11-2009,0.25,0.25,0,0.25,0.25,0.25
10-11-2009,0.25,0.25,0,0.25,0.25,0.25
11-11-2009,0.25,0.25,0,0.25,0.25,0.25
12-11-2009,0.25,0.25,0,0.25,0.25,0.25
13-11-2009,0.25,0.25,0,0.25,0.25,0.25
16-11-2009,0.25,0.25,0,0.25,0.25,0.25
17-11-2009,0.25,0.25,0,0.25,0.25,0.25
18-11-2009,0.25,0.25,0,0.25,0.25,0.25
19-11-2009,0.25,0.25,0,0.25,0.25,0.25
20-11-2009,0.25,0.25,0,0.25,0.25,0.25
23-11-2009,0.25,0.25,0,0.25,0.25,0.25
24-11-2009,0.25,0.25,0,0.25,0.25,0.25
25-11-2009,0.25,0.25,0,0.25,0.25,0.25
27-11-2009,0.25,0.25,0,0.25,0.25,0.25
30-11-2009,0.25,0.25,0,0.25,0.25,0.25
01-12-2009,0.25,0.25,0,0.25,0.25,0.25
02-12-2009,0.25,0.25,0,0.25,0.25,0.25
03-12-2009,0.25,0.25,0,0.25,0.25,0.25
04-12-2009,0.25,0.25,0,0.25,0.25,0.25
07-12-2009,0.25,0.25,0,0.25,0.25,0.25
08-12-2009,0.25,0.25,0,0.25,0.25,0.25
09-12-2009,0.25,0.25,0,0.25,0.25,0.25
10-12-2009,0.25,0.25,0,0.25,0.25,0.25
11-12-2009,0.25,0.25,0,0.25,0.25,0.25
14-12-2009,0.25,0.25,0,0.25,0.25,0.25
15-12-2009,0.25,0.25,0,0.25,0.25,0.25
16-12-2009,0.25,0.25,0,0.25,0.25,0.25
17-12-2009,0.25,0.25,0,0.25,0.25,0.25
18-12-2009,0.25,0.25,0,0.25,0.25,0.25
21-12-2009,0.25,0.25,0,0.25,0.25,0.25
22-12-2009,0.25,0.25,0,0.25,0.25,0.25
23-12-2009,0.25,0.25,0,0.25,0.25,0.25
24-12-2009,0.25,0.25,0,0.25,0.25,0.25
28-12-2009,0.25,0.25,0,0.25,0.25,0.25
29-12-2009,0.25,0.25,0,0.25,0.25,0.25
30-12-2009,0.25,0.25,0,0.25,0.25,0.25
31-12-2009,0.25,0.25,0,0.25,0.25,0.25
04-01-2010,0.25,0.25,0,0.25,0.25,0.25
05-01-2010,0.25,0.25,0,0.25,0.25,0.25
06-01-2010,0.25,0.25,0,0.25,0.25,0.25
07-01-2010,0.25,0.25,0,0.25,0.25,0.25
08-01-2010,0.25,0.25,0,0.25,0.25,0.25
11-01-2010,0.25,0.25,0,0.25,0.25,0.25
12-01-2010,0.25,0.25,0,0.25,0.25,0.25
13-01-2010,0.25,0.25,0,0.25,0.25,0.25
14-01-2010,0.25,0.25,0,0.25,0.25,0.25
15-01-2010,0.25,0.25,0,0.25,0.25,0.25
19-01-2010,0.25,0.25,0,0.25,0.25,0.25
20-01-2010,0.25,0.25,0,0.25,0.25,0.25
21-01-2010,0.25,0.25,0,0.25,0.25,0.25
22-01-2010,0.25,0.25,0,0.25,0.25,0.25
25-01-2010,0.25,0.25,0,0.25,0.25,0.25
26-01-2010,0.25,0.25,0,0.25,0.25,0.25
27-01-2010,0.25,0.25,0,0.25,0.25,0.25
28-01-2010,0.25,0.25,0,0.25,0.25,0.25
29-01-2010,0.25,0.25,0,0.25,0.25,0.25
01-02-2010,0.25,0.25,0,0.25,0.25,0.25
02-02-2010,0.25,0.25,0,0.25,0.25,0.25
03-02-2010,0.25,0.25,0,0.25,0.25,0.25
04-02-2010,0.25,0.25,0,0.25,0.25,0.25
05-02-2010,0.25,0.25,0,0.25,0.25,0.25
08-02-2010,0.25,0.25,0,0.25,0.25,0.25
09-02-2010,0.25,0.25,0,0.25,0.25,0.25
10-02-2010,0.25,0.25,0,0.25,0.25,0.25
11-02-2010,0.25,0.25,0,0.25,0.25,0.25
12-02-2010,0.25,0.25,0,0.25,0.25,0.25
16-02-2010,0.25,0.25,0,0.25,0.25,0.25
17-02-2010,0.25,0.25,0,0.25,0.25,0.25
18-02-2010,0.25,0.25,0,0.25,0.25,0.25
