Date,Low,Open,Volume,High,Close,Adjusted Close
26-04-2010,5.5,5.5,2160,5.5,5.5,5.5
27-04-2010,5.0,5.5,1170,5.5,5.5,5.5
28-04-2010,5.0,5.5,500,5.5,5.5,5.5
29-04-2010,5.5,5.5,620,5.5,5.5,5.5
30-04-2010,5.0,5.0,50,5.0,5.0,5.0
03-05-2010,4.5,4.5,200,4.5,4.5,4.5
04-05-2010,4.5,4.5,0,4.5,4.5,4.5
05-05-2010,4.5,5.0,320,5.0,4.5,4.5
06-05-2010,5.0,5.0,600,5.0,5.0,5.0
07-05-2010,5.0,5.0,0,5.0,5.0,5.0
10-05-2010,4.5,4.5,260,5.0,5.0,5.0
11-05-2010,5.0,5.0,0,5.0,5.0,5.0
12-05-2010,4.5,4.5,260,4.5,4.5,4.5
13-05-2010,4.5,4.5,0,4.5,4.5,4.5
14-05-2010,4.5,4.5,20,4.5,4.5,4.5
17-05-2010,4.5,4.5,400,4.5,4.5,4.5
18-05-2010,4.5,4.5,56,4.5,4.5,4.5
19-05-2010,3.5,4.0,1180,4.0,4.0,4.0
20-05-2010,4.0,4.0,0,4.0,4.0,4.0
21-05-2010,3.0,3.0,40,3.0,3.0,3.0
24-05-2010,3.0,3.0,0,3.0,3.0,3.0
25-05-2010,3.5,4.0,230,4.0,3.5,3.5
26-05-2010,3.5,3.5,100,3.5,3.5,3.5
27-05-2010,3.5,3.5,0,3.5,3.5,3.5
28-05-2010,3.5,3.5,0,3.5,3.5,3.5
01-06-2010,4.0,4.0,100,4.0,4.0,4.0
02-06-2010,4.0,4.0,160,4.0,4.0,4.0
03-06-2010,3.5,4.0,480,4.0,3.5,3.5
04-06-2010,4.0,4.0,32,4.0,4.0,4.0
07-06-2010,4.5,4.5,100,4.5,4.5,4.5
08-06-2010,4.0,4.0,8,4.0,4.0,4.0
09-06-2010,4.0,4.0,0,4.0,4.0,4.0
10-06-2010,4.0,4.0,0,4.0,4.0,4.0
11-06-2010,4.0,4.0,80,4.0,4.0,4.0
14-06-2010,3.0,4.0,400,4.0,3.0,3.0
15-06-2010,3.0,3.0,0,3.0,3.0,3.0
16-06-2010,3.0,3.0,0,3.0,3.0,3.0
17-06-2010,3.5,3.5,60,3.5,3.5,3.5
18-06-2010,3.5,3.5,0,3.5,3.5,3.5
21-06-2010,3.5,3.5,0,3.5,3.5,3.5
22-06-2010,3.0,3.0,200,3.0,3.0,3.0
23-06-2010,2.5,2.5,20,2.5,2.5,2.5
24-06-2010,2.5,2.5,0,2.5,2.5,2.5
25-06-2010,2.5,2.5,0,2.5,2.5,2.5
28-06-2010,3.0,3.0,932,3.5,3.5,3.5
29-06-2010,3.5,3.5,200,3.5,3.5,3.5
30-06-2010,3.5,3.5,0,3.5,3.5,3.5
01-07-2010,3.5,3.5,0,3.5,3.5,3.5
02-07-2010,3.5,3.5,200,3.5,3.5,3.5
06-07-2010,3.5,3.5,220,3.5,3.5,3.5
07-07-2010,2.5,2.5,520,2.5,2.5,2.5
08-07-2010,2.5,2.5,0,2.5,2.5,2.5
09-07-2010,2.5,2.5,0,2.5,2.5,2.5
12-07-2010,2.5,2.5,0,2.5,2.5,2.5
13-07-2010,2.5,3.0,480,3.0,2.5,2.5
14-07-2010,3.0,3.0,92,3.0,3.0,3.0
15-07-2010,3.0,3.0,0,3.0,3.0,3.0
16-07-2010,3.0,3.0,0,3.0,3.0,3.0
19-07-2010,3.0,3.0,0,3.0,3.0,3.0
20-07-2010,3.0,3.0,0,3.0,3.0,3.0
21-07-2010,3.0,3.0,0,3.0,3.0,3.0
22-07-2010,2.5,2.5,1060,3.0,3.0,3.0
23-07-2010,3.0,3.0,0,3.0,3.0,3.0
26-07-2010,3.0,3.0,0,3.0,3.0,3.0
27-07-2010,3.0,3.0,0,3.0,3.0,3.0
28-07-2010,3.0,3.0,0,3.0,3.0,3.0
29-07-2010,3.0,3.0,0,3.0,3.0,3.0
30-07-2010,3.0,3.0,0,3.0,3.0,3.0
02-08-2010,3.0,3.0,0,3.0,3.0,3.0
