Date,Low,Open,Volume,High,Close,Adjusted Close
16-05-1996,4.375,4.625,12400,4.625,4.453125,0.164975419640541
17-05-1996,4.375,4.375,2300,4.375,4.375,0.1620811074972152
20-05-1996,4.375,4.375,1800,4.375,4.375,0.1620811074972152
21-05-1996,4.375,4.625,2200,4.75,4.625,0.1713429093360901
22-05-1996,4.375,4.375,3100,4.625,4.375,0.1620811074972152
23-05-1996,4.375,4.375,0,4.375,4.375,0.1620811074972152
24-05-1996,4.625,4.625,200,4.625,4.625,0.1713429093360901
28-05-1996,4.25,4.375,2500,4.625,4.375,0.1620811074972152
29-05-1996,4.375,4.625,7500,4.625,4.625,0.1713429093360901
30-05-1996,4.5,4.5,3500,4.5,4.5,0.1667120307683944
31-05-1996,4.5,4.75,4300,4.75,4.75,0.1759738028049469
03-06-1996,4.703125,5.0,3400,5.0,5.0,0.1852356046438217
04-06-1996,4.75,4.75,8900,5.0,4.75,0.1759738028049469
05-06-1996,4.75,4.75,4000,5.0,4.75,0.1759738028049469
06-06-1996,4.75,4.75,11200,4.9375,4.75,0.1759738028049469
07-06-1996,4.84375,4.84375,1000,4.84375,4.84375,0.1794469207525253
10-06-1996,4.75,5.0,18000,5.0,5.0,0.1852356046438217
11-06-1996,4.625,4.625,1300,4.875,4.625,0.1713429093360901
12-06-1996,4.625,4.625,20500,5.0,4.625,0.1713429093360901
13-06-1996,4.625,4.625,2700,4.75,4.625,0.1713429093360901
14-06-1996,4.625,4.625,5000,4.625,4.625,0.1713429093360901
17-06-1996,4.625,4.625,6000,4.625,4.625,0.1713429093360901
18-06-1996,4.546875,4.546875,11500,4.546875,4.546875,0.1684485822916031
19-06-1996,4.625,4.625,2000,4.875,4.625,0.1713429093360901
20-06-1996,4.875,4.875,500,4.875,4.875,0.1806046217679977
21-06-1996,4.59375,4.625,49500,4.6875,4.625,0.1713429093360901
24-06-1996,4.625,4.625,1800,4.875,4.625,0.1713429093360901
25-06-1996,4.5,4.5,2000,4.625,4.5,0.1667120307683944
26-06-1996,4.625,4.625,300,4.625,4.625,0.1713429093360901
27-06-1996,4.375,4.515625,20400,4.515625,4.515625,0.1672908663749694
28-06-1996,4.453125,4.453125,3000,4.453125,4.453125,0.164975419640541
01-07-1996,4.375,4.375,46000,4.375,4.375,0.1620811074972152
02-07-1996,4.375,4.625,26200,4.625,4.625,0.1713429093360901
03-07-1996,4.5,4.5,4000,4.75,4.5,0.1667120307683944
05-07-1996,4.5,4.5,0,4.5,4.5,0.1667120307683944
08-07-1996,4.34375,4.34375,7700,4.625,4.34375,0.1609234064817428
09-07-1996,4.625,4.625,2700,4.625,4.625,0.1713429093360901
