Date,Low,Open,Volume,High,Close,Adjusted Close
25-09-2000,20.375,20.78125,2082900,24.75,23.125,23.125
26-09-2000,21.25,23.875,875900,23.875,23.5,23.5
27-09-2000,21.125,23.78125,676500,23.875,22.0,22.0
28-09-2000,20.125,21.03125,366500,23.875,22.5625,22.5625
29-09-2000,20.875,23.125,625500,25.5,23.5,23.5
02-10-2000,22.0,23.03125,643500,25.5,23.875,23.875
03-10-2000,22.0,24.125,319100,24.25,22.125,22.125
04-10-2000,21.5,22.8125,446500,22.875,22.125,22.125
05-10-2000,19.875,21.5,239300,22.0,20.0,20.0
06-10-2000,17.0625,20.1875,949900,20.1875,18.625,18.625
09-10-2000,17.875,18.34375,379700,18.8125,18.625,18.625
10-10-2000,16.125,18.5,453700,18.75,16.3125,16.3125
11-10-2000,13.125,15.75,964800,15.8125,13.5625,13.5625
12-10-2000,13.125,13.875,644500,15.25,13.25,13.25
13-10-2000,13.25,13.71875,857200,16.375,15.8125,15.8125
16-10-2000,16.25,16.75,666800,18.0,17.5,17.5
17-10-2000,16.625,17.6875,609200,17.875,16.6875,16.6875
18-10-2000,15.25,16.4375,178900,19.0,16.75,16.75
19-10-2000,16.0,18.21875,181100,18.5,17.5,17.5
20-10-2000,17.25,17.5,342800,20.0,19.6875,19.6875
23-10-2000,19.265625,19.265625,288600,22.0,21.6875,21.6875
24-10-2000,21.9375,21.9375,842300,25.1875,23.125,23.125
25-10-2000,17.5,22.25,278100,22.625,18.875,18.875
26-10-2000,16.125,20.125,199400,20.4375,17.625,17.625
27-10-2000,16.0,19.234375,168400,20.0,17.75,17.75
30-10-2000,14.75,18.484375,200600,18.875,17.125,17.125
31-10-2000,17.875,17.875,310800,20.0,20.0,20.0
01-11-2000,19.0,19.71875,195400,21.5,20.75,20.75
02-11-2000,21.0625,21.375,378800,22.125,21.875,21.875
03-11-2000,21.25,21.625,168300,22.25,22.0,22.0
06-11-2000,21.25,22.65625,63800,23.0,21.75,21.75
07-11-2000,19.5,21.5625,125000,21.5625,20.5,20.5
08-11-2000,19.375,19.75,183500,20.3125,20.0,20.0
09-11-2000,19.0,19.25,62700,20.0,19.375,19.375
10-11-2000,19.25,19.5,81200,20.125,20.125,20.125
13-11-2000,18.625,19.375,165400,20.0,18.625,18.625
14-11-2000,19.25,19.875,71800,20.5,19.625,19.625
15-11-2000,18.875,19.625,55400,20.0,19.125,19.125
16-11-2000,18.015625,18.75,7300,18.875,18.75,18.75
17-11-2000,16.0,18.875,72000,19.0,17.0,17.0
20-11-2000,16.3125,16.78125,78600,17.5,16.375,16.375
21-11-2000,16.0,16.75,27000,16.75,16.0,16.0
22-11-2000,13.5,16.0,94800,16.0,13.75,13.75
24-11-2000,13.5,14.125,120300,14.75,14.25,14.25
27-11-2000,15.0,15.25,183700,15.5625,15.1875,15.1875
28-11-2000,15.125,15.125,55200,16.8125,15.125,15.125
29-11-2000,14.875,15.0,196400,15.875,15.375,15.375
30-11-2000,13.75,15.3125,431700,15.75,15.375,15.375
01-12-2000,15.140625,15.1875,58600,18.4375,16.5,16.5
04-12-2000,13.5,16.25,41400,16.25,13.875,13.875
05-12-2000,12.9375,14.734375,181700,14.75,13.5,13.5
