Year,Low,Open,Volume,High,Close,Adjusted Close
1970,5.39,5.29,917676.54,5.51,5.45,0.74
1971,6.28,6.12,786827.82,6.39,6.34,0.95
1972,5.57,5.42,638948.39,5.65,5.61,0.99
1973,5.16,3.13,381993.45,5.26,5.2,1.72
1974,4.1,2.39,345263.21,4.21,4.14,1.5
1975,4.33,2.4,417314.98,4.44,4.38,1.59
1976,4.97,2.78,476424.41,5.08,5.01,1.81
1977,5.44,2.88,439445.25,5.55,5.49,2.22
1978,6.72,2.89,524617.22,6.9,6.8,3.39
1979,10.38,3.13,507496.59,10.66,10.51,6.23
1980,13.82,2.85,496704.63,14.25,13.95,9.8
1981,14.57,3.35,506412.25,14.97,14.69,9.72
1982,10.99,3.65,892783.41,11.3,11.09,6.92
1983,14.37,7.0,1184643.45,14.73,14.48,9.26
1984,3121.01,3115.68,1125961.24,3202.02,3121.11,1712.86
1985,4166.49,4173.98,1174479.32,4305.28,4179.3,2293.61
1986,4123.89,4195.32,1350412.74,4290.3,4205.87,2310.98
1987,4544.94,4644.68,1574147.27,4774.69,4661.82,2564.76
1988,2336.93,2387.23,1101175.34,2451.68,2398.04,1321.71
1989,2107.13,2156.49,1137434.21,2221.46,2169.13,1203.92
1990,633.78,664.88,1129495.09,708.81,670.07,380.61
1991,224.3,222.05,1277121.03,230.56,227.45,140.4
1992,223.92,228.33,1059389.98,234.19,229.01,145.1
1993,186.04,191.07,1188372.17,196.21,191.03,125.82
1994,105.23,108.15,1049021.74,110.98,108.07,77.85
1995,421.41,424.48,1180924.67,427.4,424.5,401.01
1996,455.14,459.21,1025976.35,462.97,458.83,431.39
1997,655.81,666.29,1115216.09,676.78,665.77,635.26
1998,20862.07,21539.0,1441972.83,22295.03,21536.85,21498.98
1999,74508224.17,74508767.57,1463860.8,74509475.6,74508767.28,74508690.86
2000,158290209.42,158290484.47,1348104.24,158290753.25,158290472.78,158290339.78
2001,20068164.96,20068207.85,1400116.47,20068269.76,20068207.17,-1.7704209413046623e+29
2002,4218444.92,4218460.06,1423732.74,4218472.6,4218457.26,7.551367299567854e+27
2003,410613.4,410622.55,1403540.01,413826.95,410622.05,4.810489182828805e+25
2004,13208718542.94,13689680824.29,1479422.28,14038068628.82,13595988332.5,1.2356483018609828e+24
2005,30203329679.23,30846210657.51,1715674.99,31313292948.18,30704776729.56,-3.9162534505598575e+23
2006,15197368149.9,15492216074.79,1828864.71,15744996181.09,15463523299.47,2.6310080217373748e+23
2007,9495108429.72,9739770299.88,2014218.63,9968036175.54,9719257554.85,-1.50273580223283e+23
2008,3231148579.56,3367910335.98,2539862.7,3492844302.7,3346660774.76,2.091639058858447e+22
2009,789935731.54,836720603.3,2308700.69,868213350.03,823202118.1,7.247719967356845e+22
2010,471731749.34,489086710.15,1918139.6,502708331.65,489369225.06,4.5596206384539254e+21
2011,232064330.78,241389330.72,1732645.63,249546555.45,239231528.21,-6.747473244743116e+21
2012,70144912.27,73321393.12,1447043.92,76923115.29,72683531.9,3.8988211448129074e+21
2013,63241338.29,65537189.82,1246070.53,68399726.39,65614231.23,-1.8313892780647449e+21
2014,27448249.62,28566257.88,1099437.35,29353806.58,28267511.23,3.0018509584414985e+20
2015,5358866.36,5553566.2,1058528.57,5735697.3,5536367.43,-7.922694241254642e+19
2016,1481612.45,1588796.31,1113576.58,1714886.38,1567110.35,2.8886294417775714e+19
2017,285771.92,308930.94,1011813.06,327856.58,300000.05,-4.66807543464467e+17
2018,175.7,177.82,1158437.98,179.6,177.5,-4899504833253924.0
2019,171.25,172.48,1103960.72,173.77,172.54,-42238649560.64
2020,167.26,169.1,1625462.52,170.92,169.1,-17714306.88
2021,226.62,228.7,1476431.67,230.68,228.65,-946.54
2022,205.04,207.63,1405340.37,209.68,207.31,206.13
